activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,path
CMIP,IPSL,IPSL-CM6A-LR,historical,r31i1p1f1,Amon,tas,gr,gs://cmip6/CMIP/IPSL/IPSL-CM6A-LR/historical/r31i1p1f1/Amon/tas/gr/
CMIP,CNRM-CERFACS,CNRM-CM6-1,historical,r3i1p1f2,Amon,rsds,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/historical/r3i1p1f2/Amon/rsds/gr/
ScenarioMIP,MIROC,MIROC-ES2L,ssp245,r1i1p1f2,Amon,hurs,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC-ES2L/ssp245/r1i1p1f2/Amon/hurs/gn/
ScenarioMIP,CCCma,CanESM5,ssp585,r2i1p1f1,Amon,rsut,gn,gs://cmip6/ScenarioMIP/CCCma/CanESM5/ssp585/r2i1p1f1/Amon/rsut/gn/
CMIP,IPSL,IPSL-CM6A-LR,historical,r17i1p1f1,Amon,tauu,gr,gs://cmip6/CMIP/IPSL/IPSL-CM6A-LR/historical/r17i1p1f1/Amon/tauu/gr/
CMIP,IPSL,IPSL-CM6A-LR,historical,r1i1p1f1,Amon,evspsbl,gr,gs://cmip6/CMIP/IPSL/IPSL-CM6A-LR/historical/r1i1p1f1/Amon/evspsbl/gr/
ScenarioMIP,NCAR,CESM2-WACCM,ssp585,r1i1p1f1,Oyr,si,gr,gs://cmip6/ScenarioMIP/NCAR/CESM2-WACCM/ssp585/r1i1p1f1/Oyr/si/gr/
ScenarioMIP,CCCma,CanESM5,ssp245,r7i1p2f1,Amon,rsut,gn,gs://cmip6/ScenarioMIP/CCCma/CanESM5/ssp245/r7i1p2f1/Amon/rsut/gn/
ScenarioMIP,CNRM-CERFACS,CNRM-CM6-1,ssp585,r6i1p1f2,Amon,rlut,gr,gs://cmip6/ScenarioMIP/CNRM-CERFACS/CNRM-CM6-1/ssp585/r6i1p1f2/Amon/rlut/gr/
ScenarioMIP,CNRM-CERFACS,CNRM-ESM2-1,ssp245,r3i1p1f2,Amon,vas,gr,gs://cmip6/ScenarioMIP/CNRM-CERFACS/CNRM-ESM2-1/ssp245/r3i1p1f2/Amon/vas/gr/
ScenarioMIP,MOHC,UKESM1-0-LL,ssp370,r3i1p1f2,Amon,tasmin,gn,gs://cmip6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp370/r3i1p1f2/Amon/tasmin/gn/
CMIP,NCAR,CESM2-WACCM,historical,r3i1p1f1,Amon,ch4,gn,gs://cmip6/CMIP/NCAR/CESM2-WACCM/historical/r3i1p1f1/Amon/ch4/gn/
CMIP,IPSL,IPSL-CM6A-LR,historical,r2i1p1f1,Amon,rsutcs,gr,gs://cmip6/CMIP/IPSL/IPSL-CM6A-LR/historical/r2i1p1f1/Amon/rsutcs/gr/
ScenarioMIP,MIROC,MIROC-ES2L,ssp585,r1i1p1f2,Ofx,areacello,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC-ES2L/ssp585/r1i1p1f2/Ofx/areacello/gn/
CMIP,IPSL,IPSL-CM6A-LR,historical,r31i1p1f1,Ofx,basin,gn,gs://cmip6/CMIP/IPSL/IPSL-CM6A-LR/historical/r31i1p1f1/Ofx/basin/gn/
CMIP,NCAR,CESM2,historical,r9i1p1f1,Oyr,calc,gn,gs://cmip6/CMIP/NCAR/CESM2/historical/r9i1p1f1/Oyr/calc/gn/
ScenarioMIP,IPSL,IPSL-CM6A-LR,ssp585,r1i1p1f1,Omon,volo,gn,gs://cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp585/r1i1p1f1/Omon/volo/gn/
CMIP,NCAR,CESM2-WACCM,abrupt-4xCO2,r1i1p1f1,Oyr,phyp,gr,gs://cmip6/CMIP/NCAR/CESM2-WACCM/abrupt-4xCO2/r1i1p1f1/Oyr/phyp/gr/
CMIP,NUIST,NESM3,historical,r4i1p1f1,Amon,prw,gn,gs://cmip6/CMIP/NUIST/NESM3/historical/r4i1p1f1/Amon/prw/gn/
CMIP,CCCma,CanESM5,historical,r20i1p2f1,Oyr,fgco2,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r20i1p2f1/Oyr/fgco2/gn/
CMIP,NASA-GISS,GISS-E2-1-G,historical,r6i1p1f1,Amon,vas,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r6i1p1f1/Amon/vas/gn/
ScenarioMIP,CCCma,CanESM5,ssp370,r22i1p2f1,Amon,tas,gn,gs://cmip6/ScenarioMIP/CCCma/CanESM5/ssp370/r22i1p2f1/Amon/tas/gn/
CMIP,CNRM-CERFACS,CNRM-ESM2-1,historical,r4i1p1f2,Amon,psl,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r4i1p1f2/Amon/psl/gr/
LUMIP,CNRM-CERFACS,CNRM-ESM2-1,deforest-globe,r1i1p1f2,Amon,wap,gr,gs://cmip6/LUMIP/CNRM-CERFACS/CNRM-ESM2-1/deforest-globe/r1i1p1f2/Amon/wap/gr/
CMIP,IPSL,IPSL-CM6A-LR,historical,r30i1p1f1,Lmon,ra,gr,gs://cmip6/CMIP/IPSL/IPSL-CM6A-LR/historical/r30i1p1f1/Lmon/ra/gr/
CMIP,NCAR,CESM2,esm-piControl,r1i1p1f1,Oyr,phydiat,gr,gs://cmip6/CMIP/NCAR/CESM2/esm-piControl/r1i1p1f1/Oyr/phydiat/gr/
CMIP,MIROC,MIROC-ES2L,historical,r1i1p1f2,Omon,sos,gn,gs://cmip6/CMIP/MIROC/MIROC-ES2L/historical/r1i1p1f2/Omon/sos/gn/
CMIP,CCCma,CanESM5,historical,r10i1p1f1,Amon,prw,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r10i1p1f1/Amon/prw/gn/
CMIP,CCCma,CanESM5,historical,r12i1p1f1,Amon,huss,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r12i1p1f1/Amon/huss/gn/
CMIP,IPSL,IPSL-CM6A-LR,historical,r23i1p1f1,Amon,tasmax,gr,gs://cmip6/CMIP/IPSL/IPSL-CM6A-LR/historical/r23i1p1f1/Amon/tasmax/gr/
ScenarioMIP,CCCma,CanESM5,ssp126,r13i1p2f1,Amon,pr,gn,gs://cmip6/ScenarioMIP/CCCma/CanESM5/ssp126/r13i1p2f1/Amon/pr/gn/
CMIP,CCCma,CanESM5,historical,r10i1p1f1,Lmon,nbp,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r10i1p1f1/Lmon/nbp/gn/
ScenarioMIP,CCCma,CanESM5,ssp126,r7i1p2f1,Amon,vas,gn,gs://cmip6/ScenarioMIP/CCCma/CanESM5/ssp126/r7i1p2f1/Amon/vas/gn/
CMIP,NCAR,CESM2,historical,r5i1p1f1,Lmon,gpp,gn,gs://cmip6/CMIP/NCAR/CESM2/historical/r5i1p1f1/Lmon/gpp/gn/
CMIP,IPSL,IPSL-CM6A-LR,historical,r7i1p1f1,Lmon,lai,gr,gs://cmip6/CMIP/IPSL/IPSL-CM6A-LR/historical/r7i1p1f1/Lmon/lai/gr/
CMIP,BCC,BCC-ESM1,historical,r1i1p1f1,Omon,vo,gn,gs://cmip6/CMIP/BCC/BCC-ESM1/historical/r1i1p1f1/Omon/vo/gn/
CMIP,NCAR,CESM2,historical,r7i1p1f1,Amon,hurs,gn,gs://cmip6/CMIP/NCAR/CESM2/historical/r7i1p1f1/Amon/hurs/gn/
CMIP,NCAR,CESM2,historical,r1i1p1f1,Oyr,dissic,gn,gs://cmip6/CMIP/NCAR/CESM2/historical/r1i1p1f1/Oyr/dissic/gn/
CMIP,NOAA-GFDL,GFDL-ESM4,piControl,r1i1p1f1,Amon,pr,gr1,gs://cmip6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/Amon/pr/gr1/
ScenarioMIP,CCCma,CanESM5,ssp126,r5i1p2f1,Amon,ts,gn,gs://cmip6/ScenarioMIP/CCCma/CanESM5/ssp126/r5i1p2f1/Amon/ts/gn/
ScenarioMIP,CCCma,CanESM5,ssp245,r21i1p1f1,Amon,tas,gn,gs://cmip6/ScenarioMIP/CCCma/CanESM5/ssp245/r21i1p1f1/Amon/tas/gn/
CMIP,BCC,BCC-ESM1,historical,r2i1p1f1,Amon,ts,gn,gs://cmip6/CMIP/BCC/BCC-ESM1/historical/r2i1p1f1/Amon/ts/gn/
CMIP,NASA-GISS,GISS-E2-1-G,historical,r6i1p1f1,Amon,rlutcs,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r6i1p1f1/Amon/rlutcs/gn/
LUMIP,IPSL,IPSL-CM6A-LR,deforest-globe,r2i1p1f1,Amon,rlut,gr,gs://cmip6/LUMIP/IPSL/IPSL-CM6A-LR/deforest-globe/r2i1p1f1/Amon/rlut/gr/
ScenarioMIP,CCCma,CanESM5,ssp245,r4i1p2f1,Lmon,mrso,gn,gs://cmip6/ScenarioMIP/CCCma/CanESM5/ssp245/r4i1p2f1/Lmon/mrso/gn/
CMIP,CCCma,CanESM5,historical,r21i1p1f1,Amon,tauu,gn,gs://cmip6/CMIP/CCCma/CanESM5/historical/r21i1p1f1/Amon/tauu/gn/
CMIP,IPSL,IPSL-CM6A-LR,piControl,r1i1p1f1,Amon,tauu,gr,gs://cmip6/CMIP/IPSL/IPSL-CM6A-LR/piControl/r1i1p1f1/Amon/tauu/gr/
ScenarioMIP,CCCma,CanESM5,ssp585,r5i1p2f1,Ofx,deptho,gn,gs://cmip6/ScenarioMIP/CCCma/CanESM5/ssp585/r5i1p2f1/Ofx/deptho/gn/
DAMIP,NASA-GISS,GISS-E2-1-G,hist-GHG,r3i1p1f1,Amon,ts,gn,gs://cmip6/DAMIP/NASA-GISS/GISS-E2-1-G/hist-GHG/r3i1p1f1/Amon/ts/gn/
CMIP,NASA-GISS,GISS-E2-1-G,historical,r10i1p1f1,Amon,rsdt,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r10i1p1f1/Amon/rsdt/gn/
